City,Reporting Period,Total emissions (metric tonnes CO2e), GHG/Capita , Population ,Year Reported,Methodology/Protocol
City of Brasìlia,2005,"  7,739,830 ",  5.491 ,"  1,409,671 ",2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories
City of Eugene,2005,"  1,250,000 ",  8.268 ,"  151,190 ",2016,Used the community GHG accounting tool available from ICLEI at the time (2006/2007)
Comune di Venezia,2005,"  1,418,344 ",  5.391 ,"  263,104 ",2016,Our BEI (Baseline Emission Inventory) has been made according to the Covenant of Mayors Guide Lines.
"University City, MO",2005,"  501,147 ",  14.168 ,"  35,371 ",2016,Inventory calculated using CACP software using IPCC 1996 Guidelines and US Voluntary Reporting Guidelines. (1996 guidelines not available as an option)
Santarém,2006,"  331,717 ",  5.372 ,"  61,752 ",2016,
"City of Lake Forest, IL",2007,"  402,364 ",  20.767 ,"  19,375 ",2016,
City of Lakewood,2007,"  1,727,860 ",  11.547 ,"  149,643 ",2016,"Hybrid Demand-Center Life Cycle Assessment Methodology developed by Ramaswami et. al.: The City of Lakewood GHG Emissions Inventory assesses 2007 GHG emissions using a hybrid demand-center life cycle assessment methodology developed by Ramaswami et. al. The method uses the standard Local Government Operations Protocol (LGOP) released by ICLEI\-Local Governments for Sustainability to report GHG emissions from in-boundary activities. Out-of-boundary activities critical to a community such as the provision of food, water, fuels and dwellings are added to the in-boundary activities to yield an expanded inventory that becomes a more comprehensive “carbon emissions footprint”. In 2015, the City of Lakewood worked with a GHG emissions analyst and updated the 2007 report figures based on more accurate electricity and surface transportation emission factors."
Comune di Ferrara,2007,"  1,582,605 ",  11.885 ,"  133,155 ",2016,"The Baseline Emissions Inventory (BEI) was created according to the methodological instrument made available by Emilia-Romagna Region, with the technical-scientific support of the ARPA (Regional Agency for the Prevention and the Environment) within the Climate Plans regional work group, in which the Municipality of Ferrara participates. The cognitive foundation for producing the inventory is represented by the regional inventory of greenhouse gas emissions, created by the Emilia-Romagna Region and ARPA Emilia-Romagna, according to the standard methods of estimation recognised on an international level (IPCC, CORINAIR). To construct this regional inventory, the INEMAR software was used (INventario EMissioni ARia: Air Emissions Inventory), which consists of an application system created to estimate the emissions of various pollutants, for various types of activity (e.g.: heating, traffic, agriculture and industry) and by type of fuel, according to the international classification adopted in the field of EMEP-CORINAIR inventories. As envisaged by the Intergovernmental Panel on Climate Change (IPCC) Guidelines, in order to calculate emissions, the “bottom‐up” method was used, based on the sector end-use of fuels. In those cases where it was not possible to obtain accurate data, particularly concerning territorial data, a ""top-down"" approach was used, resorting to statistical processing of data aggregated at a provincial level. The overall picture of emissions of the Terre Estensi Association was built from the emissions inventory of the individual Municipalities of Ferrara, Masi Torello and Voghiera that constitute the Association, making the sum of the contributions of the three Municipalities. In line with the agreements within the Regional Work Group on Climate Plans, the year 2007 was chosen as a baseline reference year. The classification of the sources was created in accordance with the Cartesio Guidelines, which correspond with the ICLEI Protocol and ISO 14064."
Aarhus Kommune,2008,"  1,600,000 ",  4.762 ,"  336,000 ",2017,Other
City of West Hollywood,2008,"  583,213 ",  16.954 ,"  34,399 ",2016,
